DISPLAY_FIRST_LAST,height_in_inches,2P%_career,3P%_career,FT%_career,PF100_career,TS%_career,3PAr_career,FTr_career,ORB%_career,DRB%_career,AST%_career,STL%_career,BLK%_career,TOV%_career,USG%_career
Brandon Miller,80,0.483,0.384,0.859,4,0.583,0.535,0.329,6.7,17.7,12.9,1.5,2.4,12,26.2
Keyonte George,76,0.424,0.338,0.793,4.4,0.524,0.553,0.364,4.2,13.6,20.1,2.3,0.7,16.4,30.8
Nick Smith Jr.,76,0.397,0.338,0.74,3.4,0.472,0.351,0.248,1.1,6.3,13.5,1.8,0.5,10.7,28.7
Jalen Hood-Schifino,76,0.449,0.333,0.776,4.3,0.492,0.275,0.189,1.6,12,20.2,1.4,0.8,16.9,25.7
Jordan Hawkins,76,0.428,0.376,0.872,4.4,0.564,0.62,0.308,3.8,10.9,7.8,1.4,2,10.2,24.7
Dereck Lively II,81,0.721,0.154,0.6,8,0.662,0.111,0.299,12.4,17.8,9.8,1.5,12.7,14.7,11.6
Jett Howard,79,0.496,0.368,0.8,4.1,0.562,0.64,0.227,1,8.7,12.9,0.8,2.1,9.2,23
Brice Sensabaugh,78,0.523,0.405,0.83,6.1,0.587,0.361,0.244,6.2,18.9,11,1.3,1.7,12.8,34
Dariq Whitehead,78,0.414,0.429,0.793,4.4,0.548,0.497,0.147,2.7,10.6,9.3,2.2,1.1,15.6,22.4
Noah Clowney,82,0.669,0.283,0.649,5.4,0.576,0.474,0.439,8.7,21.4,5.8,1.3,3.4,13.1,18
Cam Whitmore,78,0.578,0.343,0.703,3.8,0.571,0.424,0.251,3.7,20.3,6.4,3.2,1.6,12.8,25.6
Jarace Walker,79,0.515,0.347,0.663,4.6,0.534,0.297,0.235,9.6,18.2,12.5,2.2,6.3,12.3,22.4
Anthony Black,78,0.513,0.301,0.705,4.2,0.549,0.283,0.578,4.3,12.6,20.6,3.4,1.8,20.6,20.9
Taylor Hendricks,80,0.535,0.394,0.782,3.5,0.589,0.403,0.286,8.1,16.2,8.6,1.6,6.2,9.9,21.2
Gradey Dick,78,0.484,0.403,0.854,3.7,0.581,0.523,0.226,4,13.5,9.4,2.5,0.8,9.4,20.5
Cason Wallace,75,0.514,0.346,0.757,4.5,0.543,0.407,0.224,3.3,10.2,24.3,3.7,1.6,16.3,19.9
Kobe Bufkin,76,0.541,0.325,0.833,4.3,0.559,0.358,0.247,2.9,11.4,14.7,2.3,1.9,13.9,21
Kris Murray,80,0.566,0.348,0.699,5.1,0.569,0.43,0.269,8.9,17.2,11.2,2,4,8.2,26
GG Jackson,80,0.419,0.324,0.677,2.9,0.474,0.369,0.269,5.4,17,6.6,1.4,2.8,14.2,30.8
Maxwell Lewis,78,0.512,0.354,0.791,5.1,0.559,0.375,0.306,4.7,14.8,16.3,2,2.6,18,29.1
Colby Jones,77,0.552,0.344,0.679,3.8,0.569,0.277,0.391,6.3,15,19.8,2.4,1.6,16.1,19.6
Trayce Jackson-Davis,80,0.566,0,0.676,3.5,0.596,0.002,0.549,10.2,21.6,14.9,1.3,7.5,11.3,26.9
Jaime Jaquez Jr.,78,0.524,0.328,0.737,3.9,0.55,0.249,0.319,7.4,16.6,12.5,2.5,1.9,10.9,22.5
Andre Jackson Jr.,78,0.511,0.293,0.702,5.9,0.514,0.384,0.278,6.1,18.4,22,2.2,2,24.1,14.2
Amari Bailey,75,0.521,0.389,0.698,3.8,0.553,0.198,0.231,3.6,13.2,15.2,2.5,1.4,19.4,23.7
Terquavion Smith,75,0.429,0.352,0.7,4,0.507,0.529,0.232,2.6,11.1,19,2.5,1.4,10.4,28.8
Marcus Sasser,73,0.471,0.369,0.824,3.4,0.56,0.64,0.243,1.3,8.8,16.1,2.8,0.5,10.1,23.4
Julian Phillips,79,0.466,0.239,0.822,4.4,0.536,0.24,0.615,8.4,13.9,11.4,1.6,2.9,14.2,19.1
Julian Strawther,79,0.586,0.384,0.745,4.1,0.608,0.507,0.32,4.4,17,5.8,1.3,1.1,9.9,20.7
