DISPLAY_FIRST_LAST,POSITION,height_in_inches,2P%_career,3P%_career,FT%_career,PF100_career,TS%_career,3PAr_career,FTr_career,ORB%_career,DRB%_career,AST%_career,STL%_career,BLK%_career,TOV%_career,USG%_career
Aaron Gordon,Forward,80,0.513,0.356,0.422,4.7,0.503,0.118,0.471,10.4,19.3,13,1.8,3.4,10.5,23.2
Aaron Holiday,Guard,72,0.469,0.422,0.795,4.7,0.58,0.404,0.37,1.7,8.7,25.5,2.2,0.7,19.6,23.3
Aaron Nesmith,Guard-Forward,77,0.485,0.41,0.825,5.5,0.598,0.585,0.288,3.6,16.1,9.4,1.7,2.2,11.7,22.7
Admiral Schofield,Forward,77,0.501,0.387,0.763,6.1,0.556,0.373,0.222,5.7,17.6,10.9,1.6,1.6,11.8,24.2
Adreian Payne,Forward,82,0.551,0.409,0.755,6.6,0.601,0.175,0.432,9.5,22.4,6.6,1.7,5.8,15.4,22.9
AJ Hammons,Center,84,0.544,0.261,0.69,6.1,0.574,0.02,0.46,11.3,21.7,7.5,0.9,11.2,16.4,26.2
Alec Burks,Guard,78,0.533,0.313,0.804,4.5,0.592,0.175,0.579,8.8,13.7,17,2.1,1.2,12.6,30
Alec Peters,Forward,81,0.539,0.416,0.846,4,0.621,0.428,0.349,7.4,18.7,11,1.4,1,11.6,25.6
Alex Len,Center,86,0.548,0.111,0.663,6.3,0.569,0.022,0.476,11.8,21.2,7.2,0.5,8.6,15.4,20.7
Alize Johnson,Forward,80,0.523,0.325,0.716,4.5,0.551,0.334,0.41,12.2,29.9,16.6,1,1.1,14.4,26.4
Allen Crabbe,Guard-Forward,77,0.5,0.382,0.819,2.9,0.571,0.458,0.268,3.1,16.6,13.6,1.5,1.7,11.9,23.3
Andre Drummond,Center,83,0.541,0,0.295,4.8,0.509,0.007,0.301,14.2,17,3.4,1.8,9.9,13.5,20.9
Andre Roberson,Guard-Forward,79,0.555,0.35,0.582,5.5,0.561,0.193,0.459,12.6,29.2,8.4,3.3,5.4,16.9,19
Andrew Goudelock,Guard,75,0.494,0.413,0.838,2.9,0.574,0.458,0.15,2.4,10.4,19.3,1.7,0.7,12.2,28.2
Andrew Harrison,Guard,78,0.374,0.367,0.777,5.1,0.517,0.315,0.615,2.4,8.1,24.8,1.7,0.8,18.3,21.3
Andrew Nicholson,Forward,81,0.586,0.377,0.72,5.6,0.616,0.055,0.45,8.9,20.5,7.4,0.9,6,14.8,29.1
Andrew Wiggins,Forward,79,0.493,0.341,0.775,4.8,0.563,0.299,0.538,8.4,12.3,9.2,2.1,3.1,13.1,26.3
Anthony Bennett,Forward,80,0.587,0.375,0.701,4.9,0.609,0.253,0.467,10.3,24,8.8,1.5,4.6,12.3,27.5
Anthony Brown,Forward-Guard,79,0.448,0.403,0.751,3.7,0.556,0.447,0.339,3.9,15.8,11.4,1.4,0.6,14,20.1
Anthony Davis,Forward-Center,82,0.653,0.15,0.709,3.7,0.654,0.059,0.602,11.6,25.6,7.5,2.5,13.7,8.6,18.8
Anthony Edwards,Guard,76,0.504,0.294,0.772,3.7,0.52,0.485,0.339,2.5,14.8,17.9,2.3,1.7,12.9,30.4
Archie Goodwin,Guard,77,0.478,0.266,0.637,5.5,0.509,0.179,0.594,5.6,11.2,16.8,2.1,1.4,18.1,27.2
Austin Rivers,Guard,76,0.477,0.365,0.658,3.9,0.538,0.396,0.458,2.2,10,13,1.7,0.1,13.9,25.2
Bam Adebayo,Center-Forward,81,0.599,NA,0.653,4.7,0.624,0,0.831,11.1,17.3,4.7,1.2,4.9,13.9,18.5
Ben Bentil,Forward,81,0.503,0.324,0.761,5.7,0.554,0.267,0.468,10,15.7,7.1,1.2,2.7,11,25.1
Ben McLemore,Guard,75,0.553,0.42,0.87,3.4,0.633,0.435,0.345,5,13.2,12.6,1.8,2.2,14.2,23.2
Ben Simmons,Guard-Forward,82,0.561,0.333,0.67,4.4,0.6,0.008,0.769,9.6,26.8,27.4,3.1,2.5,17.4,26.4
Bernard James,Center,82,0.627,NA,0.528,4.3,0.613,0,0.533,12.9,20.1,3.1,1.9,11.2,18.3,19.7
Bobby Portis,Forward,83,0.54,0.365,0.737,3.9,0.574,0.081,0.35,12,18.6,9.8,2.1,5.3,9.6,24.2
Bradley Beal,Guard,76,0.541,0.339,0.769,3.7,0.575,0.473,0.44,4.8,20.3,12.7,2.5,2.6,14.3,23
Branden Dawson,Forward,78,0.564,0,0.558,3.8,0.562,0.009,0.313,11.8,19.3,11.1,2.9,4.7,15.8,21.2
Brandon Ingram,Forward,80,0.464,0.41,0.682,3.5,0.552,0.403,0.351,6,15.5,11.4,1.9,3.6,11.3,25.5
Brandon Knight,Guard,74,0.461,0.377,0.795,3.7,0.553,0.45,0.333,2.2,10.2,23.4,1.1,0.6,16.8,27
Brice Johnson,Forward,82,0.575,NA,0.708,6.8,0.598,0,0.328,11.3,25.1,8.5,2,5.5,11.6,24.9
Bruce Brown,Guard-Forward,76,0.502,0.316,0.702,4.5,0.532,0.323,0.398,5.2,17.1,20.9,2.7,2.2,16.2,21
Bruno Fernando,Forward-Center,82,0.603,0.308,0.763,6.4,0.638,0.027,0.493,10.8,26.3,11.4,1.2,6.6,19.7,23.1
Buddy Hield,Guard,76,0.508,0.39,0.836,3.6,0.584,0.511,0.257,5.6,11.6,12.9,2.3,0.9,12.7,26.6
Caleb Swanigan,Forward,81,0.537,0.376,0.76,4.9,0.586,0.223,0.432,9.3,30.4,16.4,0.8,1.8,19.7,26.3
Cam Reddish,Forward-Guard,79,0.394,0.333,0.772,4.4,0.499,0.618,0.264,2,10.7,10.7,2.9,1.9,16.5,25.3
Cameron Bairstow,Forward-Center,81,0.519,0.333,0.717,6.2,0.577,0.007,0.692,10.4,16.6,8.6,1.4,4,12.8,23.3
Cameron Payne,Guard,73,0.487,0.359,0.781,4.4,0.551,0.431,0.322,1.7,10.9,37.1,3.3,1.7,14.5,30.5
Caris LeVert,Guard,78,0.456,0.401,0.77,3.5,0.552,0.396,0.314,1.8,15.1,21,2.3,0.9,12.3,22.8
Carrick Felix,Guard-Forward,78,0.545,0.326,0.704,5.2,0.552,0.406,0.33,5.9,14.9,10.4,2.2,3.1,15.8,21
Carsen Edwards,Guard,71,0.455,0.368,0.817,3.8,0.547,0.496,0.295,1.6,11.3,17.7,2.3,0.8,12.1,32.2
Cassius Stanley,Guard,77,0.527,0.36,0.733,4.3,0.569,0.319,0.389,7.6,11.7,6.6,1.4,2.4,14.4,21.9
Cassius Winston,Guard,73,0.484,0.43,0.845,4,0.601,0.428,0.349,1,8.7,42.8,1.8,0.3,18.6,25.5
Chandler Hutchison,Forward-Guard,78,0.508,0.353,0.687,5.2,0.551,0.204,0.468,5.6,21.1,18.7,2.3,1.1,15,26.9
Chandler Parsons,Forward,81,0.575,0.337,0.611,3.7,0.56,0.411,0.363,7.7,18.2,19.1,2,0.9,15.3,19.6
Charles Jenkins,Guard,75,0.482,0.382,0.811,3.8,0.563,0.254,0.425,2.5,9.4,26,2.9,1.4,14.7,28.4
Cheick Diallo,Forward-Center,80,0.569,NA,0.556,10.8,0.572,0,0.466,10.4,27.1,0.9,2,11.9,19.4,21.7
Chimezie Metu,Forward-Center,81,0.545,0.302,0.692,5.3,0.573,0.046,0.438,7.8,18.6,8.4,1.5,6.2,13.8,23
